indicator_col	nfhs_plain_label	category	condition_or_topic	symptoms	specialties	direction	confidence	edge_basis
men_age_15_years_and_above_with_very_high_gt_160_mg_dl_bloo_pct	Men age 15+ with very high (>160 mg/dL) random blood sugar level (%)	condition	Diabetes-range hyperglycemia (men)	excessive thirst|frequent urination|unexplained weight loss|extreme tiredness|blurred vision|slow-healing sores	endocrinologyanddiabetesandmetabolism|internalmedicine|nephrology	high_pct_bad	high	Very high glucose indicates likely diabetes; endocrinology-led, nephrology for diabetic kidney complications.
m15_plus_with_high_or_very_high_gt_140_mg_dl_blood_sugar_or_pct	Men age 15+ with high or very high (>140 mg/dL) random blood sugar level or on medicine to control blood sugar (%)	condition	Diabetes mellitus, any (men)	increased thirst|frequent urination|fatigue|blurred vision|tingling in hands or feet	endocrinologyanddiabetesandmetabolism|internalmedicine|familymedicine	high_pct_bad	high	Composite any-diabetes prevalence (>140 mg/dL or on meds); endocrinology + primary care.
women_age_15_49_years_whose_bmi_bmi_is_underweight_bmi_lt_1_pct	Women age 15-49 years who are underweight (BMI < 18.5 kg/m2) (%)	risk_factor	Underweight / undernutrition (women 15-49)	low body weight|constant tiredness|weakness|feeling cold|hair thinning	internalmedicine|familymedicine|gastroenterology	high_pct_bad	med	Underweight is a nutritional risk factor; primary care first-line, gastroenterology if malabsorption suspected.
women_age_15_49_years_who_are_overweight_obese_bmi_gte_25_0_pct	Women age 15-49 years who are overweight or obese (BMI >= 25.0 kg/m2) (%)	risk_factor	Overweight / obesity (women 15-49)	excess body weight|breathlessness on exertion|joint pain|low energy	chronicdiseasepreventionandlifestylemedicine|endocrinologyanddiabetesandmetabolism|bariatricsurgery	high_pct_bad	high	Obesity is a modifiable metabolic risk factor; lifestyle medicine first-line, endocrinology for metabolic workup, bariatric surgery for severe obesity.
women_age_15_49_years_who_have_high_risk_whr_gte_0_85_pct	Women age 15-49 years who have a high-risk waist-to-hip ratio (WHR >= 0.85) (%)	risk_factor	High-risk central adiposity / waist-to-hip ratio (women 15-49)	increased waist size|no specific symptoms	chronicdiseasepreventionandlifestylemedicine|endocrinologyanddiabetesandmetabolism|cardiology	high_pct_bad	med	High WHR = central obesity, a cardiometabolic risk marker (asymptomatic); lifestyle medicine + endocrinology, cardiology for CV risk.
w15_plus_who_use_any_kind_of_tobacco_pct	Women age 15+ who use any kind of tobacco (%)	risk_factor	Tobacco use (women)	cravings for tobacco|persistent cough|shortness of breath|stained teeth|mouth sores	preventivemedicine|pulmonology|psychiatry	high_pct_bad	high	Tobacco use is a leading modifiable risk factor; preventive medicine/cessation, pulmonology for respiratory effects, psychiatry/addiction for dependence.
m15_plus_who_use_any_kind_of_tobacco_pct	Men age 15+ who use any kind of tobacco (%)	risk_factor	Tobacco use (men)	cravings for tobacco|persistent cough|shortness of breath|stained teeth|mouth sores	preventivemedicine|pulmonology|psychiatry	high_pct_bad	high	Tobacco use is a leading modifiable risk factor; preventive medicine/cessation, pulmonology for respiratory effects, psychiatry/addiction for dependence.
w15_plus_who_consume_alcohol_pct	Women age 15+ who consume alcohol (%)	risk_factor	Alcohol consumption (women)	strong urge to drink|trouble cutting down|nausea|abdominal pain|low mood	psychiatry|gastroenterology|preventivemedicine	high_pct_bad	high	Alcohol use is a modifiable risk factor; psychiatry/addiction for use disorder, gastroenterology/hepatology for liver effects, preventive medicine for screening.
m15_plus_who_consume_alcohol_pct	Men age 15+ who consume alcohol (%)	risk_factor	Alcohol consumption (men)	strong urge to drink|trouble cutting down|nausea|abdominal pain|low mood	psychiatry|gastroenterology|preventivemedicine	high_pct_bad	high	Alcohol use is a modifiable risk factor; psychiatry/addiction for use disorder, gastroenterology/hepatology for liver effects, preventive medicine for screening.
child_6_59m_who_are_anaemic_lt_11_0_g_dl_22_pct	Children 6-59 months who are anaemic (Hb <11.0 g/dl) (%)	condition	Childhood anaemia (iron-deficiency / nutritional anaemia in young children)	child looks pale|child always tired|child not eating well|child gets tired quickly|child breathless when playing|pale lips and nails	pediatrics|hematology|pediatriccriticalcaremedicine	high_pct_bad	high	MODELED: childhood anaemia presents as pallor/fatigue; primary pediatric care, hematology for workup of severe/refractory cases
non_pregnant_w15_49_who_are_anaemic_lt_12_0_g_dl_22_pct	Non-pregnant women 15-49 yrs who are anaemic (Hb <12.0 g/dl) (%)	condition	Anaemia in non-pregnant women of reproductive age (iron-deficiency anaemia)	constant tiredness|looking pale|feeling weak|shortness of breath on exertion|dizziness|heavy periods|headaches	internalmedicine|hematology|gynecologyandobstetrics	high_pct_bad	high	MODELED: anaemia in reproductive-age women → fatigue/pallor; internal medicine first-line, hematology for workup, gynecology for menstrual blood-loss cause
pregnant_w15_49_who_are_anaemic_lt_11_0_g_dl_22_pct	Pregnant women 15-49 yrs who are anaemic (Hb <11.0 g/dl) (%)	condition	Anaemia in pregnancy	tiredness during pregnancy|looking pale while pregnant|feeling weak in pregnancy|breathless when walking|dizziness|fast heartbeat	gynecologyandobstetrics|maternalfetalmedicineorperinatology|hematology	high_pct_bad	high	MODELED: anaemia in pregnancy managed in antenatal/obstetric care; MFM for high-risk/severe cases, hematology for refractory workup
all_w15_49_who_are_anaemic_pct	All women 15-49 yrs who are anaemic (%)	condition	Anaemia in women of reproductive age (overall)	constant tiredness|looking pale|feeling weak|breathlessness|dizziness|low energy	internalmedicine|gynecologyandobstetrics|hematology	high_pct_bad	high	MODELED: overall reproductive-age female anaemia; internal/family medicine + ob-gyn (includes pregnant subset), hematology for workup
all_w15_19_who_are_anaemic_pct	All women/adolescent girls 15-19 yrs who are anaemic (%)	condition	Adolescent girl anaemia (15-19 yrs)	always tired|looking pale|feeling weak|tired at school|breathless climbing stairs|poor concentration|heavy periods	pediatrics|internalmedicine|hematology	high_pct_bad	high	MODELED: adolescent (15-19) anaemia straddles pediatric/adolescent and adult internal medicine; hematology for workup
child_u5_who_are_stunted_height_for_age_18_pct	Children under 5 yrs who are stunted (low height-for-age) (%)	condition	Childhood stunting (chronic undernutrition; low height-for-age)	child not growing tall|child shorter than other kids|child not growing|delayed growth|child smaller for age	pediatrics|endocrinologyanddiabetesandmetabolism|gastroenterology	high_pct_bad	high	MODELED: stunting = chronic undernutrition; pediatrics primary, pediatric endocrinology for growth assessment, GI for malabsorption causes
child_u5_who_are_wasted_weight_for_height_18_pct	Children under 5 yrs who are wasted (low weight-for-height) (%)	condition	Childhood wasting (acute undernutrition; low weight-for-height)	child very thin|child losing weight|child looks frail|child not gaining weight|ribs showing	pediatrics|pediatriccriticalcaremedicine|gastroenterology	high_pct_bad	high	MODELED: wasting = acute undernutrition; pediatrics primary, peds critical care for complicated SAM, GI for underlying cause
child_u5_who_are_severe_wasted_weight_for_height_19_pct	Children under 5 yrs who are severely wasted (severe low weight-for-height) (%)	condition	Severe acute malnutrition / severe wasting in under-5 children	child extremely thin|child very weak|child not eating|child losing a lot of weight|child looks skin and bones|child listless	pediatriccriticalcaremedicine|pediatrics|neonatologyperinatalmedicine	high_pct_bad	high	MODELED: severe wasting (SAM) is life-threatening, needs inpatient/critical pediatric care; neonatology relevant for youngest infants
child_u5_who_are_underweight_weight_for_age_18_pct	Children under 5 yrs who are underweight (low weight-for-age) (%)	condition	Childhood underweight (low weight-for-age; composite undernutrition)	child underweight|child not gaining weight|child too thin for age|child not growing|poor appetite	pediatrics|gastroenterology|endocrinologyanddiabetesandmetabolism	high_pct_bad	high	MODELED: underweight = composite undernutrition; pediatrics primary, GI/endocrine for underlying malabsorption/metabolic causes
child_u5_who_are_overweight_weight_for_height_20_pct	Children under 5 yrs who are overweight (high weight-for-height) (%)	condition	Childhood overweight/obesity (high weight-for-height) in under-5	child gaining too much weight|child overweight|child too heavy for age|child chubby and not active	pediatrics|endocrinologyanddiabetesandmetabolism|chronicdiseasepreventionandlifestylemedicine	high_pct_bad	med	MODELED: early childhood overweight; pediatrics primary, peds endocrine for metabolic workup, lifestyle medicine for prevention
child_u6m_exclusively_breastfed_pct	Children under 6 months exclusively breastfed (%)	care_gap	Exclusive breastfeeding coverage (infant feeding practice)		pediatrics|neonatologyperinatalmedicine|obstetricsandmaternitycare	low_pct_bad	high	MODELED care_gap: low exclusive-breastfeeding coverage is the deficit; addressed by pediatric/neonatal feeding support and postnatal maternity lactation counseling
total_child_6_23m_receiving_an_adequate_diet16_17_pct	Children 6-23 months receiving an adequate diet (%)	care_gap	Adequate complementary feeding/diet coverage (infant & young child feeding)		pediatrics|preventivemedicine|gastroenterology	low_pct_bad	high	MODELED care_gap: low adequate-diet coverage is the deficit; pediatric nutrition + preventive medicine address IYCF; GI for feeding/malabsorption concerns
households_using_iodized_salt_pct	Households using iodized salt (%)	care_gap	Iodized salt usage coverage (iodine deficiency prevention)		preventivemedicine|endocrinologyanddiabetesandmetabolism|chronicdiseasepreventionandlifestylemedicine	low_pct_bad	high	MODELED care_gap: low iodized-salt coverage = population iodine-deficiency risk (goiter, child cognitive impairment); preventive medicine primary, endocrinology for thyroid/iodine disorders
prev_diarrhoea_2wk_child_u5_pct	Children under 5 years who had diarrhoea in the 2 weeks before the survey (%)	condition	Childhood acute diarrhoea / gastroenteritis	child has diarrhoea|child has loose watery stools|child dehydrated|child vomiting|child fever	pediatrics|gastroenterology|generalmedicine	high_pct_bad (higher prevalence = worse)	high	MODELED: acute diarrhoea in u5 presents as loose stools/dehydration; managed by pediatrics, GI for severe/persistent, general medicine where no pediatrician.
children_with_diarrhoea_2wk_who_received_oral_rehydration_s_pct	Children under 5 with diarrhoea who received oral rehydration salts (ORS) (%)	care_gap	ORS treatment coverage for childhood diarrhoea		pediatrics|emergencymedicine|familymedicine	low_pct_bad (lower ORS coverage = worse)	high	MODELED: ORS is the frontline rehydration therapy delivered by pediatric/primary/emergency care; low coverage = care gap in those services.
children_with_diarrhoea_2wk_who_received_zinc_child_u5_pct	Children under 5 with diarrhoea who received zinc (%)	care_gap	Zinc treatment coverage for childhood diarrhoea		pediatrics|gastroenterology|familymedicine	low_pct_bad (lower zinc coverage = worse)	high	MODELED: zinc is WHO-recommended adjunct to ORS for u5 diarrhoea, prescribed in pediatric/GI/primary care; low coverage = treatment gap.
children_with_diarrhoea_2wk_taken_to_a_health_facility_or_h_pct	Children under 5 with diarrhoea taken to a health facility or health provider (%)	care_gap	Care-seeking for childhood diarrhoea		pediatrics|emergencymedicine|familymedicine	low_pct_bad (lower care-seeking = worse)	high	MODELED: facility care-seeking for diarrhoea routes to pediatric/primary care and emergency for dehydration; low % = access/utilization gap.
children_prev_symptoms_of_acute_respiratory_infection_ari_2_pct	Children under 5 who had symptoms of acute respiratory infection (ARI) in the 2 weeks before the survey (%)	condition	Childhood acute respiratory infection (ARI) / pneumonia	child coughing and breathing fast|child has trouble breathing|child fever|child chest indrawing|child runny nose	pediatrics|pulmonology|infectiousdiseases	high_pct_bad (higher prevalence = worse)	high	MODELED: ARI/pneumonia in u5 presents as cough + fast/difficult breathing + fever; pediatrics primary, pulmonology and ID for severe/infectious cause.
children_with_fever_or_symptoms_of_ari_2wk_taken_to_a_healt_pct	Children under 5 with fever or symptoms of ARI taken to a health facility or provider (%)	care_gap	Care-seeking for childhood fever / ARI		pediatrics|emergencymedicine|familymedicine	low_pct_bad (lower care-seeking = worse)	high	MODELED: fever/ARI care-seeking routes to pediatric/primary care and emergency for respiratory distress; low % = access/utilization gap.
child_12_23m_fully_vaccinated_based_on_information_from_vax_pct	Children 12-23 months fully vaccinated (per vaccination card/record) (%)	care_gap	Full childhood immunization coverage		pediatrics|preventivemedicine|familymedicine	low_pct_bad (lower coverage = worse)	high	MODELED: routine immunization is delivered by pediatric/primary/preventive services; low full-coverage = immunization care gap.
child_12_23m_who_have_received_bcg_pct	Children 12-23 months who received BCG vaccine (%)	care_gap	BCG (tuberculosis) vaccination coverage		pediatrics|preventivemedicine|infectiousdiseases	low_pct_bad (lower coverage = worse)	high	MODELED: BCG protects against TB, given at birth via pediatric/preventive immunization; ID relevant to the TB target. Low % = vaccine gap.
child_12_23m_who_have_received_3_doses_of_polio_vaccine_pct	Children 12-23 months who received 3 doses of polio vaccine (%)	care_gap	Polio (OPV/IPV) vaccination coverage		pediatrics|preventivemedicine|infectiousdiseases	low_pct_bad (lower coverage = worse)	high	MODELED: polio series delivered by pediatric/preventive immunization; ID relevant to vaccine-preventable infection. Low % = vaccine gap.
child_12_23m_who_have_received_3_doses_of_penta_or_dpt_vacc_pct	Children 12-23 months who received 3 doses of pentavalent or DPT vaccine (%)	care_gap	Pentavalent / DPT vaccination coverage		pediatrics|preventivemedicine|infectiousdiseases	low_pct_bad (lower coverage = worse)	high	MODELED: penta/DPT (diphtheria-pertussis-tetanus +) series delivered by pediatric/preventive immunization; ID relevant. Low % = vaccine gap.
child_12_23m_who_have_received_the_first_dose_of_mcv_mcv_pct	Children 12-23 months who received the first dose of measles-containing vaccine (MCV1) (%)	care_gap	Measles (MCV1) vaccination coverage		pediatrics|preventivemedicine|infectiousdiseases	low_pct_bad (lower coverage = worse)	high	MODELED: MCV1 prevents measles, delivered by pediatric/preventive immunization; ID relevant to outbreak-prone infection. Low % = vaccine gap.
child_12_23m_who_have_received_3_doses_of_rotavirus_vaccine_pct	Children 12-23 months who received 3 doses of rotavirus vaccine (%)	care_gap	Rotavirus vaccination coverage		pediatrics|preventivemedicine|gastroenterology	low_pct_bad (lower coverage = worse)	high	MODELED: rotavirus vaccine prevents severe infant diarrhoea, delivered by pediatric/preventive immunization; GI relevant to the GI-pathogen target. Low % = vaccine gap.
child_9_35m_who_received_a_vit_a_in_the_last_6_months_pct	Children 9-35 months who received a vitamin A dose in the last 6 months (%)	care_gap	Vitamin A supplementation coverage		pediatrics|preventivemedicine|familymedicine	low_pct_bad (lower coverage = worse)	high	MODELED: periodic vitamin A supplementation is a preventive child-health intervention delivered by pediatric/primary/preventive services. Low % = supplementation gap.
mothers_who_had_an_anc_visit_in_the_first_trimester_lb5y_pct	Mothers who had an antenatal care (ANC) visit in the first trimester (%)	care_gap	Antenatal care coverage (early/first-trimester ANC)		gynecologyandobstetrics|obstetricsandmaternitycare|maternalfetalmedicineorperinatology	low_pct_bad	high	Early ANC is delivered by obstetric/maternity providers; low first-trimester ANC coverage signals unmet demand for routine and high-risk antenatal services.
mothers_who_had_at_least_4_anc_visits_lb5y_pct	Mothers who had at least 4 antenatal care (ANC) visits (%)	care_gap	Antenatal care coverage (>=4 ANC visits / WHO schedule)		gynecologyandobstetrics|obstetricsandmaternitycare|maternalfetalmedicineorperinatology	low_pct_bad	high	Adequate ANC visit count is an obstetric/maternity service; low coverage indicates gap in routine antenatal monitoring and risk detection.
mothers_who_received_pnc_from_a_doctor_nurse_lhv_anm_midwif_pct	Mothers who received postnatal care (PNC) from a doctor/nurse/LHV/ANM/midwife within 2 days of delivery (%)	care_gap	Postnatal care coverage by a skilled provider		obstetricsandmaternitycare|gynecologyandobstetrics|neonatologyperinatalmedicine	low_pct_bad	high	Skilled PNC is provided by maternity/obstetric staff (neonatal overlap for newborn care); low coverage = gap in early postpartum/newborn surveillance for hemorrhage, sepsis, etc.
institutional_birth_5y_pct	Institutional births in the 5 years before the survey (%)	care_gap	Institutional delivery coverage		obstetricsandmaternitycare|gynecologyandobstetrics|maternalfetalmedicineorperinatology	low_pct_bad	high	Institutional birth requires facility-based maternity/obstetric capacity; low coverage signals demand for delivery services and emergency obstetric care.
births_attended_by_skilled_hp_5y_10_pct	Births attended by skilled health personnel in the 5 years before the survey (%)	care_gap	Skilled birth attendance coverage		obstetricsandmaternitycare|gynecologyandobstetrics|neonatologyperinatalmedicine	low_pct_bad	high	Skilled birth attendance is an obstetric/midwifery service (neonatal overlap for newborn resuscitation); low coverage = gap in safe delivery workforce.
births_delivered_by_csection_5y_pct	Births delivered by C-section in the 5 years before the survey (%)	care_gap	Cesarean section rate (both under- and over-utilization are harmful)		gynecologyandobstetrics	context	low	DIRECTION=context: C-section rate is U-shaped - too LOW means lack of emergency obstetric/surgical access (untreated obstructed labor), too HIGH means overuse/unnecessary surgery. Not a simple low_pct_bad coverage gap; specialty stays obstetric, interpret against WHO ~10-15% benchmark, hence low confidence.
mothers_who_consumed_ifa_for_180_days_or_more_when_they_wer_pct	Mothers who consumed iron-folic acid (IFA) for 180 days or more when they were pregnant (%)	care_gap	Antenatal iron-folic acid supplementation (anemia prevention in pregnancy)		obstetricsandmaternitycare|gynecologyandobstetrics	low_pct_bad	med	IFA supplementation is part of antenatal care delivered by maternity/obstetric providers; low coverage reflects gap in the anemia-prevention component of ANC.
fp_cm_w15_49_modern_method_pct	Current use of any modern family planning method, currently married women age 15-49 (%)	care_gap	Modern contraceptive use (family planning coverage)		familyplanningandcomplexcontraception|gynecologyandobstetrics|reproductiveendocrinologyandinfertility	low_pct_bad	high	Modern contraception is provided by family-planning / reproductive-health services; low uptake indicates demand for contraceptive counseling and provision.
fp_unmet_total_cm_w15_49_7_pct	Total unmet need for family planning, currently married women age 15-49 (%)	care_gap	Unmet need for family planning		familyplanningandcomplexcontraception|gynecologyandobstetrics|reproductiveendocrinologyandinfertility	high_pct_bad	high	Unmet need directly quantifies the family-planning service gap; HIGH unmet need = worse, so direction is high_pct_bad. Served by FP/contraception and reproductive-health providers.
women_age_30_49_years_ever_undergone_a_cervical_screen_pct	Women age 30-49 who have ever undergone a cervical (cancer) screening (%)	care_gap	Cervical cancer screening coverage		gynecologyandobstetrics|gynecologiconcology|medicaloncology	low_pct_bad	high	Cervical screening detects cervical cancer; diagnosis/treatment falls to obstetric-gynecology and gyn/medical oncology. Low screening coverage = undetected disease and unmet oncologic demand.
women_age_30_49_years_ever_undergone_a_breast_exam_pct	Women age 30-49 who have ever undergone a breast examination (%)	care_gap	Breast cancer screening (clinical breast exam) coverage		gynecologyandobstetrics|surgicaloncology|medicaloncology	low_pct_bad	high	Breast exam screens for breast cancer; diagnosis/treatment falls to surgical and medical oncology, with gynecology/obstetrics as a common screening entry point. Low coverage = undetected disease and unmet oncologic demand.
women_age_30_49_years_ever_undergone_an_oral_cancer_exam_pct	Women age 30-49 who have ever undergone an oral cancer examination (%)	care_gap	Oral cancer screening coverage		otolaryngology|oralandmaxillofacialsurgery|dentistry	low_pct_bad	high	Oral cancer screening detects oral/oropharyngeal malignancy; diagnosis/treatment falls to otolaryngology and oral & maxillofacial surgery, with dentistry as a common screening/detection point. Low coverage = undetected disease.
hh_use_improved_sanitation_pct	Households using an improved sanitation facility (%)	context_only	Improved sanitation access (social determinant of health)		NO_SPECIALTY_MATCH	low_pct_bad	high	No direct clinical specialty: sanitation is an environmental/infrastructure determinant, not a diagnosis or procedure. INDIRECT only - poor sanitation raises diarrhoeal/enteric and infectious disease burden (would touch infectiousdiseases/pediatrics downstream), but that is a population-health effect, not a facility-matching specialty route.
hh_improved_water_pct	Households with an improved drinking-water source (%)	context_only	Improved drinking water access (social determinant of health)		NO_SPECIALTY_MATCH	low_pct_bad	high	No direct clinical specialty: water access is infrastructure, not a clinical service. INDIRECT only - unsafe water increases waterborne/diarrhoeal and infectious disease burden (infectiousdiseases/pediatrics downstream), but this is not a specialty-demand mapping.
hh_electricity_pct	Households with electricity (%)	context_only	Household electrification (social determinant / development indicator)		NO_SPECIALTY_MATCH	low_pct_bad	high	No direct or specific clinical specialty: electrification is a development/infrastructure indicator. INDIRECT/diffuse only - it enables cold chain, facility lighting, and medical equipment, but cannot be attributed to any single specialty demand.
households_using_clean_fuel_for_cooking_pct	Households using clean fuel for cooking (%)	context_only	Clean cooking fuel access (household air pollution determinant)		NO_SPECIALTY_MATCH	low_pct_bad	high	No direct clinical specialty: cooking fuel is an environmental exposure, not a clinical service. INDIRECT only - solid-fuel smoke is a real risk factor for COPD/respiratory disease and childhood pneumonia (pulmonology/pediatrics downstream), but exposure prevalence is not a specialty-demand signal for facility matching.
hh_member_covered_health_insurance_pct	Households with any member covered by a health insurance/financing scheme (%)	context_only	Health insurance / financial-protection coverage		NO_SPECIALTY_MATCH	low_pct_bad	high	No clinical specialty: insurance coverage is a health-financing/access determinant affecting affordability across ALL specialties, not demand for any one. INDIRECT - low coverage suppresses care-seeking broadly, but maps to no specific specialty.
women_age_15_49_who_are_literate_pct	Women age 15-49 who are literate (%)	context_only	Female literacy (social determinant of health)		NO_SPECIALTY_MATCH	low_pct_bad	high	No clinical specialty: literacy is an educational/social determinant. INDIRECT - higher female literacy correlates with better maternal/child health-seeking and outcomes, but it is a contextual modifier, not a route to any specialty.
women_age_15_49_with_10_or_more_years_of_schooling_pct	Women age 15-49 with 10 or more years of schooling (%)	context_only	Female educational attainment (social determinant of health)		NO_SPECIALTY_MATCH	low_pct_bad	high	No clinical specialty: years of schooling is an educational/social determinant. INDIRECT - associated with improved reproductive/child health behaviors and lower fertility, but contextual, not a specialty-demand signal.
w20_24_married_before_age_18_years_pct	Women age 20-24 married before age 18 years (%)	context_only	Child marriage prevalence (social determinant; reproductive-health risk factor)		NO_SPECIALTY_MATCH	high_pct_bad	high	No direct clinical specialty: child marriage is a social/legal determinant, so high_pct_bad. INDIRECT - it is a real upstream risk factor for early/high-risk pregnancy and maternal morbidity (obstetric burden downstream), but the indicator itself is contextual and not a facility-matching specialty route.
w15_19_who_were_already_mothers_or_pregnant_at_the_time_of_pct	Women age 15-19 who were already mothers or pregnant at the time of the survey (%)	context_only	Adolescent/teen pregnancy prevalence (reproductive-health risk indicator)		NO_SPECIALTY_MATCH	high_pct_bad	med	Borderline but classified context_only: this is a demographic prevalence/risk indicator (high_pct_bad), not a coverage gap. INDIRECT but strong - high teen pregnancy implies real demand for adolescent obstetric and family-planning services (gynecologyandobstetrics / familyplanningandcomplexcontraception downstream); flagged as indirect, not placed in the specialties column per the context-only contract.
w15_24_who_use_menstrual_hygiene_pct	Women age 15-24 who use a hygienic method of menstrual protection (%)	context_only	Menstrual hygiene practice (social determinant / WASH-adjacent behavior)		NO_SPECIALTY_MATCH	low_pct_bad	med	No direct clinical specialty: menstrual hygiene method use is a behavioral/WASH and affordability determinant, not a clinical service. INDIRECT - poor menstrual hygiene is associated with reproductive-tract/urinary infection risk (gynecology downstream), but the indicator is contextual.
sex_ratio_at_birth_5y_f_per_1000_m	Sex ratio at birth (females per 1,000 males) for births in the last 5 years	context_only	Sex ratio at birth (gender-equity / prenatal sex-selection indicator)		NO_SPECIALTY_MATCH	low_pct_bad	high	No clinical specialty: this is a population gender-equity indicator (a low female-per-male ratio signals sex-selective practices, hence low_pct_bad - fewer females = worse). NOTE: this is a ratio per 1000, not a percentage. INDIRECT/societal only - reflects gender bias and (illegal) sex selection, not demand for any clinical specialty.
female_population_age_6_years_and_above_ever_schooled_pct	Female population age 6 years and above who ever attended school (%)	context_only	Female school attendance / educational access (social determinant of health)		NO_SPECIALTY_MATCH	low_pct_bad	high	No clinical specialty: ever-schooled is an educational/social determinant. INDIRECT - female education correlates with better health literacy and maternal/child outcomes, but it is contextual, not a route to any specialty.
